,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,AptaMat,Probability
274,.......((.(((......))).)).........((....)).....(((....)))..((.(.(...).)..)).,14,-4.718,22,0,0.000264
275,.......((.(((......))).)).............((.......(((....)))...........))......,10,-4.716,10,0,0.000263
276,.......((.(((......))).)).....(((.(((.((......))..))).))).....(.(...))......,15,-4.716,29,0,0.000263
277,.......((.(((......))).)).....((((...(((...((.((((....)))..).)).....))))))).,18,-4.715,6,0,0.000262
278,.......((.((........)).)).....((((...(((....((((((....)))........)))))))))).,17,-4.714,8,0,0.000262
279,...........((((....))))....((((.......)))).....(((....)))..((.(.(...).)..)).,15,-4.714,36,0,0.000262
280,.......((.((........)).)).....(((....(((.......(((....)))...........))).))).,13,-4.71,4,0,0.000260
281,.......((.(((......))).))..((((.......))))...(((((....))).............))....,14,-4.71,21,0,0.000260
282,.......((.(((......))).))......................(((....)))..(.((.(...).))..).,12,-4.704,18,0,0.000257
283,.......((.(((......))).)).....(((.(((.((......))..))).)))..((.((.......)))).,17,-4.703,31,0,0.000257
284,.......((.(((......))).))..((((.......)))).....(((....)))..((.(.......)..)).,15,-4.702,22,0,0.000256
285,.......((.(((......))).)).......(......).......(((....))).....(.(...).).....,11,-4.698,16,0,0.000255
